date,plant_id,product_id,product_type,grade,thickness_mm,length_mm,price_per_ton,promotion,stock_ton,weekday,month,holiday,sales_ton,prev_day_sales_ton,rolling_7d_mean_ton,rolling_30d_mean_ton
2023-01-01,1,1,coil,C,2.0,12000,863.9,0,213.95,6,1,1,1.531,0.0,1.531,1.531
2023-01-02,1,1,coil,C,2.0,12000,862.26,0,170.96,0,1,1,1.901,1.531,1.716,1.716
2023-01-03,1,1,coil,C,2.0,12000,874.72,0,69.37,1,1,1,2.299,1.901,1.9103333333333332,1.9103333333333332
2023-01-04,1,1,coil,C,2.0,12000,888.24,0,178.6,2,1,0,1.743,2.299,1.8685,1.8685
2023-01-05,1,1,coil,C,2.0,12000,881.39,0,168.53,3,1,0,2.177,1.743,1.9302,1.9302
2023-01-06,1,1,coil,C,2.0,12000,887.39,0,206.11,4,1,0,1.824,2.177,1.9124999999999999,1.9124999999999999
2023-01-07,1,1,coil,C,2.0,12000,864.21,0,169.99,5,1,0,1.531,1.824,1.858,1.858
2023-01-08,1,1,coil,C,2.0,12000,891.42,0,148.92,6,1,0,1.135,1.531,1.8014285714285714,1.767625
2023-01-09,1,1,coil,C,2.0,12000,862.86,0,188.53,0,1,0,2.21,1.135,1.8455714285714286,1.8167777777777776
2023-01-10,1,1,coil,C,2.0,12000,875.05,0,338.92,1,1,0,2.407,2.21,1.8610000000000002,1.8758
2023-01-11,1,1,coil,C,2.0,12000,903.96,0,210.93,2,1,0,2.201,2.407,1.9264285714285714,1.9053636363636364
2023-01-12,1,1,coil,C,2.0,12000,865.24,0,149.55,3,1,0,1.624,2.201,1.8474285714285714,1.8819166666666665
2023-01-13,1,1,coil,C,2.0,12000,897.77,0,132.67,4,1,0,1.707,1.624,1.830714285714286,1.8684615384615384
2023-01-14,1,1,coil,C,2.0,12000,867.54,0,229.11,5,1,0,1.526,1.707,1.83,1.8439999999999999
2023-01-15,1,1,coil,C,2.0,12000,895.25,0,189.64,6,1,0,1.008,1.526,1.8118571428571428,1.7882666666666667
2023-01-16,1,1,coil,C,2.0,12000,899.28,0,124.59,0,1,0,2.309,1.008,1.826,1.8208125
2023-01-17,1,1,coil,C,2.0,12000,875.02,0,258.99,1,1,0,1.815,2.309,1.7414285714285713,1.820470588235294
2023-01-18,1,1,coil,C,2.0,12000,900.34,0,148.11,2,1,0,1.961,1.815,1.7071428571428573,1.8282777777777777
2023-01-19,1,1,coil,C,2.0,12000,894.79,0,274.77,3,1,0,2.113,1.961,1.777,1.8432631578947367
2023-01-20,1,1,coil,C,2.0,12000,884.32,0,180.07,4,1,0,2.042,2.113,1.8248571428571427,1.8532
2023-01-21,1,1,coil,C,2.0,12000,862.73,0,129.06,5,1,0,1.606,2.042,1.836285714285714,1.8414285714285714
2023-01-22,1,1,coil,C,2.0,12000,901.24,0,173.28,6,1,0,0.751,1.606,1.7995714285714286,1.7918636363636364
2023-01-23,1,1,coil,C,2.0,12000,871.41,0,189.39,0,1,0,2.0,0.751,1.7554285714285716,1.8009130434782608
2023-01-24,1,1,coil,C,2.0,12000,902.21,0,225.07,1,1,0,2.351,2.0,1.832,1.8238333333333332
2023-01-25,1,1,coil,C,2.0,12000,896.67,0,268.59,2,1,0,2.084,2.351,1.8495714285714284,1.83424
2023-01-26,1,1,coil,C,2.0,12000,875.33,0,187.17,3,1,0,2.016,2.084,1.8357142857142856,1.8412307692307692
